,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,00:07.1,-0.408447266,0.730712891,0.545898438,38.14697266,-90.8203125,18.24951172
1,00:07.1,-0.275146484,0.755859375,0.519287109,36.68212891,-93.68896484,22.52197266
2,00:07.1,-0.149902344,0.808105469,0.540527344,32.16552734,-75.62255859,29.11376953
3,00:07.1,-0.104980469,0.864990234,0.534912109,24.35302734,-45.28808594,31.25
4,00:07.1,-0.092041016,0.883056641,0.530517578,14.6484375,-18.43261719,26.24511719
5,00:07.1,-0.050048828,0.899658203,0.605712891,9.887695313,-0.549316406,23.49853516
6,00:07.1,0.0078125,0.919921875,0.763183594,9.521484375,10.55908203,22.4609375
7,00:07.1,-0.013183594,0.911865234,0.896972656,12.45117188,16.17431641,22.03369141
8,00:07.1,-0.070556641,0.927246094,0.967041016,19.16503906,18.67675781,21.17919922
9,00:07.1,-0.183105469,0.951171875,0.932373047,26.48925781,13.91601563,18.85986328
10,00:07.1,-0.282958984,0.95703125,0.857421875,32.89794922,0.610351563,15.68603516
11,00:07.1,-0.301269531,0.978515625,0.752441406,39.67285156,-20.99609375,10.86425781
12,00:07.2,-0.325927734,1.022460938,0.664550781,45.95947266,-44.98291016,12.75634766
13,00:07.2,-0.333007813,1.028076172,0.594482422,48.95019531,-65.06347656,17.51708984
14,00:07.2,-0.322998047,1.026855469,0.545410156,49.43847656,-79.77294922,23.74267578
15,00:07.2,-0.309814453,1.045166016,0.539306641,48.15673828,-90.8203125,28.3203125
16,00:07.2,-0.264892578,1.052490234,0.552978516,45.34912109,-99.06005859,33.08105469
17,00:07.2,-0.198486328,1.044189453,0.556152344,41.9921875,-102.9052734,37.47558594
18,00:07.2,-0.131103516,1.025634766,0.551757813,38.57421875,-102.2949219,38.87939453
19,00:07.2,-0.049072266,1.005126953,0.552001953,37.41455078,-99.609375,38.45214844
20,00:07.2,0.034423828,0.990722656,0.568603516,38.94042969,-97.16796875,36.07177734
21,00:07.2,0.122802734,0.974121094,0.598144531,41.07666016,-94.66552734,33.26416016
22,00:07.2,0.140380859,0.947021484,0.558105469,43.21289063,-87.64648438,36.01074219
23,00:07.2,0.120361328,0.962890625,0.526367188,43.57910156,-71.22802734,41.07666016
24,00:07.2,0.074951172,0.953613281,0.473632813,38.87939453,-54.74853516,40.52734375
